Source File,Page,Has_Text,Has_Order_Header,Used_OCR
101.pdf,80,True,True,False
101.pdf,81,True,True,False
101.pdf,82,True,True,False
101.pdf,83,True,True,False
101.pdf,84,True,True,False
102.pdf,1,True,True,False
102.pdf,2,True,True,False
102.pdf,3,True,True,False
102.pdf,4,True,True,False
102.pdf,5,True,True,False
102.pdf,6,True,True,False
102.pdf,7,True,True,False
102.pdf,8,True,True,False
102.pdf,9,True,True,False
102.pdf,10,True,True,False
102.pdf,11,True,True,False
102.pdf,12,True,True,False
102.pdf,13,True,True,False
102.pdf,14,True,True,False
102.pdf,15,True,True,False
102.pdf,16,True,True,False
102.pdf,17,True,True,False
102.pdf,18,True,True,False
102.pdf,19,True,True,False
102.pdf,20,True,True,False
102.pdf,21,True,True,False
102.pdf,22,True,True,False
102.pdf,23,True,True,False
102.pdf,24,True,True,False
102.pdf,25,True,True,False
102.pdf,26,True,True,False
102.pdf,27,True,True,False
102.pdf,28,True,True,False
102.pdf,29,True,True,False
102.pdf,30,True,True,False
102.pdf,31,True,True,False
102.pdf,32,True,True,False
102.pdf,33,True,True,False
102.pdf,34,True,True,False
102.pdf,35,True,True,False
102.pdf,36,True,True,False
102.pdf,37,True,True,False
102.pdf,38,True,True,False
102.pdf,39,True,True,False
102.pdf,40,True,True,False
102.pdf,41,True,True,False
102.pdf,42,True,True,False
102.pdf,43,True,True,False
102.pdf,44,True,True,False
102.pdf,45,True,True,False
102.pdf,46,True,True,False
102.pdf,47,True,True,False
102.pdf,48,True,True,False
102.pdf,49,True,True,False
102.pdf,50,True,True,False
102.pdf,51,True,True,False
102.pdf,52,True,True,False
102.pdf,53,True,True,False
102.pdf,54,True,True,False
102.pdf,55,True,True,False
102.pdf,56,True,True,False
102.pdf,57,True,True,False
102.pdf,58,True,True,False
102.pdf,59,True,True,False
102.pdf,60,True,True,False
102.pdf,61,True,True,False
102.pdf,62,True,True,False
102.pdf,63,True,True,False
102.pdf,64,True,True,False
102.pdf,65,True,True,False
102.pdf,66,True,True,False
102.pdf,67,True,True,False
102.pdf,68,True,True,False
102.pdf,69,True,True,False
102.pdf,70,True,True,False
102.pdf,71,True,True,False
102.pdf,72,True,True,False
102.pdf,73,True,True,False
102.pdf,74,True,True,False
102.pdf,75,True,True,False
102.pdf,76,True,True,False
102.pdf,77,True,True,False
102.pdf,78,True,False,True
102.pdf,79,True,True,False
102.pdf,80,True,True,False
102.pdf,81,True,True,False
103.pdf,1,True,True,False
103.pdf,2,True,True,False
103.pdf,3,True,True,False
103.pdf,4,True,True,False
103.pdf,5,True,True,False
103.pdf,6,True,True,False
103.pdf,7,True,True,False
103.pdf,8,True,True,False
103.pdf,9,True,True,False
103.pdf,10,True,True,False
103.pdf,11,True,True,False
103.pdf,12,True,True,False
103.pdf,13,True,True,False
103.pdf,14,True,True,False
103.pdf,15,True,True,False
103.pdf,16,True,True,False
103.pdf,17,True,False,True
103.pdf,18,True,True,False
103.pdf,19,True,True,False
103.pdf,20,True,True,False
103.pdf,21,True,True,False
103.pdf,22,True,True,False
103.pdf,23,True,True,False
103.pdf,24,True,True,False
103.pdf,25,True,True,False
103.pdf,26,True,True,False
103.pdf,27,True,True,False
103.pdf,28,True,True,False
103.pdf,29,True,True,False
103.pdf,30,True,True,False
103.pdf,31,True,True,False
103.pdf,32,True,True,False
103.pdf,33,True,True,False
103.pdf,34,True,True,False
103.pdf,35,True,True,False
103.pdf,36,True,True,False
103.pdf,37,False,False,False
103.pdf,38,True,True,False
103.pdf,39,True,True,False
103.pdf,40,True,True,False
103.pdf,41,True,True,False
103.pdf,42,True,True,False
103.pdf,43,True,True,False
103.pdf,44,True,True,False
103.pdf,45,True,True,False
103.pdf,46,True,True,False
103.pdf,47,True,True,False
103.pdf,48,True,True,False
103.pdf,49,True,True,False
103.pdf,50,True,True,False
103.pdf,51,True,True,False
103.pdf,52,True,True,False
103.pdf,53,True,True,False
103.pdf,54,True,True,False
103.pdf,55,True,True,False
103.pdf,56,True,True,False
103.pdf,57,True,True,False
103.pdf,58,True,True,False
103.pdf,59,True,True,False
103.pdf,60,True,True,False
103.pdf,61,True,True,False
103.pdf,62,True,True,False
103.pdf,63,True,True,False
